KEY_GAP_TIME_D8,MULTIPLE_KEYS_DOWN_D6,MOUSE_SPEED_D8,MOUSE_DIR_D8,MOUSE_GAP_D5,MOUSE_GAP_D4,MOUSE_SPEED_D4,MOUSE_DDIR_D2,MOUSE_SPEED_D4,MOUSE_GAP_D9,KEY_COUNT,MULTIPLE_KEYS_UP_D1,KEY_TIME,KEY_TIME,MULTIPLE_KEYS_UP,MOUSE_GAP_D3,MANY_KEYS_BY_KEY_PRESSED,MOUSE_DIR_D5,MOUSE_DIR_D5,MOUSE_DIST_D6,GAP_SD,MOUSE_DIST_D5,MOUSE_DIST_D5,MOUSE_GAP_D3,KEY_TIME_D9,MOUSE_GAP_D1,MOUSE_SPEED_D5,MOUSE_DIR_D1,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_UP_D7
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.1,0.0,5.051,1322.0,1.0,0.1,0.1,0.0,0.001,0.2,111.682,111.682,0.0,11.888,0.0,0.0,0.001,0.151,0.0,0.0,58.496,3.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.102,0.0,5.051,1354.0,1.0,0.1,0.1,0.0,0.001,0.211,111.682,111.682,0.0,11.743,0.0,0.0,0.001,0.151,0.0,0.0,58.496,1.0,3.0
0.265,3.0,24.837,273.18,0.12,0.1,0.0,0.1,0.0,5.055,1379.0,1.0,0.1,0.1,3.0,0.001,0.22,111.682,111.682,0.0,11.638,0.0,0.0,0.001,0.151,0.0,0.0,58.496,2.0,3.0
0.265,3.0,24.837,273.18,0.121,0.1,0.0,0.097,0.0,5.051,1404.0,1.0,0.1,0.1,0.0,0.001,0.229,111.682,111.682,0.0,11.534,0.0,0.0,0.001,0.151,0.0,0.0,53.973,2.0,3.0
0.265,3.0,24.837,271.326,0.121,0.1,0.0,0.101,0.0,5.055,1441.0,1.0,0.1,0.1,0.0,0.002,0.223,111.682,111.682,0.0,11.385,0.0,0.0,0.002,0.151,0.0,0.0,58.496,3.0,3.0
0.265,3.0,24.837,271.326,0.121,0.1,0.0,0.104,0.0,5.051,1474.0,1.0,0.1,0.1,0.0,0.002,0.218,110.993,110.993,0.0,11.255,0.0,0.0,0.002,0.151,0.0,0.0,53.973,2.0,3.0
0.265,3.0,25.533,271.326,0.121,0.101,0.0,0.106,0.0,5.051,1493.0,1.0,0.1,0.1,0.0,0.002,0.216,110.993,110.993,0.0,11.185,0.0,0.0,0.002,0.151,0.0,0.0,48.366,3.0,3.0
0.265,3.0,25.533,271.326,0.121,0.101,0.0,0.112,0.0,5.051,1519.0,1.0,0.1,0.1,0.0,0.002,0.212,110.993,110.993,0.0,11.087,0.0,0.0,0.002,0.151,0.0,0.0,53.973,2.0,3.0
0.265,3.0,25.533,271.326,0.121,0.101,0.0,0.11,0.0,5.055,1553.0,1.0,0.1,0.1,0.0,0.002,0.207,110.993,110.993,0.0,10.965,0.0,0.0,0.002,0.151,0.0,0.0,48.366,2.0,3.0
0.278,3.0,25.533,271.326,0.121,0.101,0.0,0.111,0.0,5.051,1571.0,1.0,0.1,0.1,3.0,0.002,0.205,110.993,110.993,0.0,10.902,0.0,0.0,0.002,0.151,0.0,0.0,48.366,2.0,3.0
0.278,3.0,25.533,263.29,0.121,0.101,0.0,0.118,0.0,5.051,1595.0,1.0,0.1,0.1,0.0,0.002,0.202,110.993,110.993,0.0,10.822,0.0,0.0,0.002,0.148,0.0,0.0,48.366,3.0,3.0
0.278,3.0,25.533,263.29,0.121,0.101,0.0,0.124,0.0,5.055,1619.0,1.0,0.1,0.1,0.0,0.002,0.199,110.993,110.993,0.0,10.739,0.0,0.0,0.002,0.148,0.0,0.0,48.366,2.0,3.0
0.278,3.0,25.533,271.326,0.121,0.101,0.0,0.123,0.0,5.055,1654.0,1.0,0.1,0.1,0.0,0.002,0.195,110.993,110.993,0.0,10.627,0.0,0.0,0.002,0.151,0.0,0.0,48.366,3.0,3.0
0.278,3.0,25.533,271.326,0.121,0.102,0.0,0.125,0.0,5.055,1694.0,1.0,0.1,0.1,0.0,0.002,0.19,110.993,110.993,0.0,10.499,0.0,0.0,0.002,0.151,0.0,0.0,48.366,2.0,3.0
0.265,3.0,25.533,271.326,0.121,0.102,0.0,0.124,0.0,5.055,1739.0,1.0,0.1,0.1,1.0,0.002,0.185,110.993,110.993,0.0,10.365,0.0,0.0,0.002,0.151,0.0,0.0,48.366,4.0,3.0
0.265,3.0,25.533,270.313,0.121,0.102,0.0,0.12,0.0,5.055,1771.0,1.0,0.1,0.1,0.0,0.002,0.182,110.993,110.993,0.0,10.268,0.0,0.0,0.002,0.148,0.0,0.0,48.366,2.0,3.0
0.265,3.0,25.533,270.313,0.121,0.102,0.0,0.119,0.0,5.055,1816.0,1.0,0.1,0.1,1.0,0.002,0.187,110.993,110.993,0.0,10.142,0.0,0.0,0.002,0.148,0.0,0.0,48.366,2.0,3.0
0.265,3.0,25.533,270.313,0.121,0.101,0.0,0.118,0.0,5.091,1857.0,1.0,0.1,0.1,0.0,0.002,0.198,110.993,110.993,0.0,10.029,0.0,0.0,0.002,0.148,0.0,0.0,48.366,2.0,3.0
0.265,3.0,25.533,263.29,0.121,0.101,0.0,0.117,0.0,5.5,1900.0,1.0,0.1,0.1,2.0,0.002,0.204,110.925,110.925,0.0,9.914,0.0,0.0,0.002,0.148,0.0,0.0,48.366,2.0,3.0
0.265,3.0,25.533,263.29,0.121,0.101,0.0,0.116,0.0,5.5,1943.0,1.0,0.1,0.1,2.0,0.002,0.2,110.993,110.993,0.0,9.804,0.0,0.0,0.002,0.148,0.0,0.0,48.366,3.0,3.0
0.265,3.0,25.533,263.29,0.121,0.11,0.0,0.12,0.0,5.5,1960.0,1.0,0.1,0.1,2.0,0.002,0.198,110.925,110.925,0.0,9.761,0.0,0.0,0.002,0.148,0.001,0.0,48.366,2.0,3.0
0.278,3.0,25.533,263.29,0.122,0.11,0.0,0.121,0.0,5.526,1990.0,1.0,0.1,0.1,0.0,0.002,0.195,110.925,110.925,0.0,9.687,0.0,0.0,0.002,0.148,0.001,0.0,46.332,2.0,3.0
0.278,3.0,25.533,263.29,0.122,0.11,0.0,0.119,0.0,5.5,2030.0,1.0,0.1,0.1,0.0,0.002,0.191,110.925,110.925,0.0,9.591,0.0,0.0,0.002,0.148,0.001,0.0,46.332,2.0,3.0
0.278,3.0,26.352,263.29,0.122,0.11,0.0,0.122,0.0,5.5,2047.0,1.0,0.1,0.1,2.0,0.002,0.19,110.925,110.925,0.0,9.553,0.0,0.0,0.002,0.148,0.001,0.0,46.146,3.0,3.0
0.527,1.0,38.621,228.976,0.083,0.01,0.0,0.012,0.0,3.617,44.0,0.0,0.1,0.1,0.0,0.007,0.159,112.237,112.237,0.0,0.381,0.0,0.0,0.007,0.314,0.001,0.0,18.807,0.0,2.0
0.527,1.0,19.701,228.976,0.083,0.062,0.0,0.01,0.0,1.997,65.0,0.0,0.1,0.1,1.0,0.007,0.169,112.237,112.237,0.0,1.905,0.0,0.0,0.007,0.313,0.001,0.0,18.807,3.0,2.0
0.488,2.0,19.701,228.976,0.083,0.048,0.0,0.008,0.0,3.617,80.0,0.0,0.1,0.1,0.0,0.01,0.138,112.237,112.237,0.0,1.714,0.0,0.0,0.01,0.313,0.001,0.0,18.807,2.0,2.0
0.488,2.0,22.321,228.976,0.084,0.062,0.0,0.007,0.0,11.559,114.0,0.0,0.1,0.1,0.0,0.01,0.096,112.237,112.237,0.0,1.645,0.0,0.0,0.01,0.125,0.002,0.0,18.807,2.0,2.0
0.488,2.0,25.417,228.976,0.083,0.038,0.0,0.006,0.0,9.421,127.0,0.0,0.1,0.1,0.0,0.01,0.087,112.237,112.237,0.0,1.627,0.0,0.0,0.01,0.131,0.002,0.0,18.807,3.0,2.0
0.527,2.0,25.417,228.976,0.083,0.038,0.0,0.006,0.0,9.421,158.0,0.0,0.1,0.1,0.0,0.01,0.07,112.237,112.237,0.0,1.462,0.0,0.0,0.01,0.125,0.002,0.0,18.807,3.0,2.0
0.527,3.0,38.621,228.976,0.083,0.038,0.0,0.004,0.0,11.559,179.0,0.0,0.1,0.1,2.0,0.01,0.061,112.237,112.237,0.0,1.388,0.0,0.0,0.01,0.125,0.002,0.0,18.807,4.0,2.0
0.527,3.0,38.621,228.976,0.083,0.038,0.0,0.004,0.0,11.559,208.0,0.0,0.1,0.1,1.0,0.01,0.053,112.237,112.237,0.0,1.29,0.0,0.0,0.01,0.124,0.002,0.0,18.807,3.0,2.0
0.527,3.0,38.621,214.189,0.084,0.062,0.0,0.003,0.0,9.421,226.0,0.0,0.1,0.1,0.0,0.01,0.049,112.237,112.237,0.0,1.25,0.0,0.0,0.01,0.124,0.002,0.0,18.807,4.0,2.0
0.527,3.0,38.621,214.189,0.084,0.062,0.0,0.003,0.0,9.421,260.0,0.0,0.1,0.1,1.0,0.01,0.042,112.237,112.237,0.0,1.166,0.0,0.0,0.01,0.124,0.002,0.0,18.807,4.0,2.0
0.527,3.0,38.621,214.189,0.084,0.038,0.0,0.002,0.0,13.297,279.0,0.0,0.1,0.1,0.0,0.01,0.039,112.237,112.237,0.0,1.138,0.0,0.0,0.01,0.124,0.001,0.0,18.807,5.0,2.0
0.527,3.0,38.621,214.189,0.084,0.062,0.0,0.002,0.0,13.297,304.0,0.0,0.1,0.1,1.0,0.01,0.036,112.237,112.237,0.0,1.1,0.0,0.0,0.01,0.124,0.001,0.0,18.807,5.0,2.0
0.527,3.0,38.621,213.327,0.084,0.038,0.0,0.002,0.0,13.297,322.0,0.0,0.1,0.1,1.0,0.01,0.034,112.237,112.237,0.0,1.082,0.0,0.0,0.01,0.124,0.002,0.0,18.807,5.0,2.0
0.527,3.0,38.987,214.189,0.084,0.062,0.0,0.002,0.0,13.297,346.0,0.0,0.1,0.1,0.0,0.01,0.032,112.237,112.237,0.0,1.054,0.0,0.0,0.01,0.124,0.001,0.0,18.807,5.0,2.0
0.527,4.0,38.987,214.189,0.084,0.062,0.0,0.002,0.0,13.297,375.0,0.0,0.0,0.0,0.0,0.01,0.029,112.237,112.237,0.0,1.018,0.0,0.0,0.01,0.122,0.001,0.0,18.807,4.0,2.0
0.527,4.0,49.803,214.586,0.084,0.062,0.0,0.001,0.0,13.297,408.0,0.0,0.0,0.0,0.0,0.01,0.027,112.237,112.237,0.0,0.983,0.0,0.0,0.01,0.124,0.001,0.0,18.807,4.0,2.0
0.527,4.0,55.548,214.586,0.084,0.062,0.0,0.001,0.0,13.297,432.0,0.0,0.1,0.1,1.0,0.01,0.025,112.237,112.237,0.0,0.966,0.0,0.0,0.01,0.122,0.002,0.0,18.807,4.0,2.0
0.527,4.0,55.548,214.189,0.09,0.062,0.0,0.001,0.0,13.297,453.0,0.0,0.1,0.1,1.0,0.01,0.024,112.237,112.237,0.0,0.953,0.0,0.0,0.01,0.122,0.002,0.0,18.807,4.0,2.0
0.527,4.0,55.548,214.189,0.09,0.062,0.0,0.001,0.0,13.297,476.0,0.0,0.1,0.1,0.0,0.01,0.023,112.237,112.237,0.0,0.934,0.0,0.0,0.01,0.124,0.002,0.0,18.807,5.0,2.0
0.529,4.0,55.548,213.327,0.094,0.062,0.0,0.006,0.0,13.297,491.0,0.0,0.1,0.1,0.0,0.01,0.022,112.237,112.237,0.0,0.963,0.0,0.0,0.01,0.124,0.002,0.0,32.695,5.0,2.0
