A_KEY_TIME_MEAN,BOTH_DEV_CC_COUNT,GAP_D1,GAP_D5,GAP_SD,KEY_COUNT,KEY_TIME,MANY_KEYS_BY_KEY_PRESSED,MOUSE_COUNT,MOUSE_DDIR_D1,MOUSE_DDIR_D2,MOUSE_DDIR_D3,MOUSE_DIR_D1,MOUSE_DIR_D5,MOUSE_DIR_D6,MOUSE_DIST_D1,MOUSE_DIST_D2,MOUSE_DIST_D3,MOUSE_DIST_D4,MOUSE_DIST_D5,MOUSE_DIST_D6,MOUSE_DIST_D7,MOUSE_GAP_D1,MOUSE_GAP_D2,MOUSE_GAP_D3,MOUSE_SPEED_D1,MOUSE_SPEED_D2,MOUSE_SPEED_D3,MOUSE_SPEED_D5,MULTIPLE_KEYS_DOWN,MULTIPLE_KEYS_DOWN_D1,MULTIPLE_KEYS_UP,MULTIPLE_KEYS_UP_D1
0.102,0.153,0.015,0.081,0.747,1229.0,0.1,0.187,337,0.059,0.107,0.375,61.26,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.102,0.162,0.015,0.081,0.75,1251.0,0.1,0.184,345,0.057,0.104,0.373,61.26,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
0.102,0.158,0.015,0.081,0.744,1274.0,0.1,0.181,352,0.054,0.104,0.362,61.26,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.102,0.156,0.015,0.08,11.965,1304.0,0.1,0.191,358,0.062,0.102,0.363,58.496,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.102,0.152,0.015,0.081,11.888,1322.0,0.1,0.2,369,0.061,0.1,0.357,58.496,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.102,0.148,0.015,0.08,11.743,1354.0,0.1,0.211,379,0.077,0.102,0.35,58.496,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
0.102,0.145,0.015,0.08,11.638,1379.0,0.1,0.22,390,0.075,0.1,0.348,58.496,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
0.102,0.141,0.015,0.08,11.534,1404.0,0.1,0.229,399,0.083,0.097,0.343,53.973,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.001,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.102,0.138,0.015,0.079,11.385,1441.0,0.1,0.223,408,0.082,0.101,0.344,58.496,111.682,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.101,0.146,0.015,0.079,11.255,1474.0,0.1,0.218,418,0.086,0.104,0.336,53.973,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.101,0.141,0.015,0.079,11.185,1493.0,0.1,0.216,429,0.091,0.106,0.327,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.101,0.149,0.015,0.079,11.087,1519.0,0.1,0.212,436,0.089,0.112,0.319,53.973,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.101,0.156,0.015,0.079,10.965,1553.0,0.1,0.207,448,0.093,0.11,0.315,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.101,0.152,0.015,0.079,10.902,1571.0,0.1,0.205,459,0.099,0.111,0.306,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,3.0,1.0
0.1,0.149,0.015,0.079,10.822,1595.0,0.1,0.202,471,0.096,0.118,0.299,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.1,0.146,0.015,0.079,10.739,1619.0,0.1,0.199,481,0.094,0.124,0.292,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.1,0.144,0.015,0.079,10.627,1654.0,0.1,0.195,489,0.094,0.123,0.295,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0
0.1,0.142,0.015,0.079,10.499,1694.0,0.1,0.19,496,0.092,0.125,0.294,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
0.1,0.14,0.015,0.079,10.365,1739.0,0.1,0.185,501,0.091,0.124,0.298,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0
0.1,0.147,0.015,0.079,10.268,1771.0,0.1,0.182,509,0.102,0.12,0.291,48.366,110.993,115.907,0.0,0.0,0.0,0.0,0.0,0.0,52.01,0.0,0.001,0.002,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0
